ID,university names,country code
662,Victoria University,AUS
663,University of Adelaide,AUS
664,Queensland University of Technology,AUS
665,Australian National University,AUS
666,University of Technology Sydney,AUS
667,University of South Australia,AUS
668,Griffith University,AUS
669,University of Queensland,AUS
670,University of Melbourne,AUS
671,University of Sydney,AUS
672,University of Wollongong,AUS
673,Deakin University,AUS
674,University of Western Australia,AUS
675,UNSW Sydney,AUS
676,University of Newcastle,AUS
677,RMIT University,AUS
678,La Trobe University,AUS
679,Macquarie University,AUS
680,Swinburne University of Technology,AUS
681,Monash University,AUS
682,Curtin University,AUS
683,Western Sydney University,AUS
684,University of Sciences and Technology Houari Boumediene,DZA
686,Saarland University,DEU
687,University of Jinan,CHN
688,Tilburg University,NLD
689,Tokyo Medical and Dental University,JPN
690,Brigham Young University,USA
691,Paris Dauphine University,FRA
692,"University of the Republic, Uruguay",URY
693,University of Wyoming,USA
694,Shanxi University,CHN
695,"Open University, UK",GBR
696,NUI Galway,IRL
697,Clemson University,USA
698,Shaanxi Normal University,CHN
699,University of Nebraska Medical Center,USA
700,AgroParisTech,FRA
701,University of Tromsø – The Arctic University of Norway,NOR
702,University of Alabama - Tuscaloosa,USA
703,Auburn University,USA
704,Flinders University,AUS
705,"St George's, University of London",GBR
706,"University of North Texas, Denton",USA
707,"China Medical University, Taiwan",TWN
708,Ningbo University,CHN
709,Qingdao University,CHN
710,Massey University,NZL
711,Ewha Womans University,KOR
712,Hohai University,CHN
713,University of Poitiers,FRA
714,Loyola University Chicago,USA
715,University of Nantes,FRA
716,University of Burgundy,FRA
717,Shantou University,CHN
718,Colorado School of Mines,USA
719,University of Hull,GBR
720,Zhejiang Normal University,CHN
721,Boston College,USA
722,Utah State University,USA
723,Chongqing Medical University,CHN
724,National Polytechnic Institute of Toulouse,FRA
726,"China Medical University, PRC",CHN
727,Nanchang University,CHN
728,Harbin Medical University,CHN
729,National University of Defense Technology,CHN
730,University of Nice Sophia Antipolis,FRA
731,Saint Louis University,USA
732,South China Normal University,CHN
733,Beijing University of Posts and Telecommunications,CHN
734,INSEAD,FRA
735,Wenzhou Medical University,CHN
736,Donghua University,CHN
737,Rush University,USA
739,Tianjin Medical University,CHN
740,University of Oregon,USA
741,Tulane University,USA
742,Central China Normal University,CHN
743,Nanjing Tech University,CHN
744,University of Sherbrooke,CAN
745,University of Iceland,ISL
746,University of Bayreuth,DEU
747,Hefei University of Technology,CHN
748,China Pharmaceutical University,CHN
749,University of Hanover,DEU
750,Southern Methodist University,USA
751,North China Electric Power University,CHN
752,Northeast Normal University,CHN
753,Medical University of Innsbruck,AUT
754,TU Darmstadt,DEU
755,National Yang-Ming University,TWN
756,China Europe International Business School,CHN
757,Beijing University of Technology,CHN
758,University of Mississippi,USA
759,South China Agricultural University,CHN
760,University of Savoy,FRA
761,Zhejiang University of Technology,CHN
762,Yunnan University,CHN
763,University of Texas Medical Branch,USA
764,Stockholm School of Economics,SWE
765,"All India Institute of Medical Sciences, Delhi",IND
766,ESPCI Paris,FRA
767,University of Graz,AUT
768,Indian Institute of Technology Delhi,IND
769,Taipei Medical University,TWN
770,Kaohsiung Medical University,TWN
771,École nationale d'administration,FRA
772,Semmelweis University,HUN
773,Augusta University,USA
774,Gwangju Institute of Science and Technology,KOR
775,University of Pécs,HUN
776,Budapest University of Technology and Economics,HUN
777,University of Tennessee Health Science Center,USA
778,University of Szeged,HUN
779,University of Greifswald,DEU
780,Kumamoto University,JPN
781,Guangzhou Medical University,CHN
782,Tata Institute of Fundamental Research,IND
783,University of Akron,USA
784,Tarbiat Modares University,IRN
785,Gyeongsang National University,KOR
786,INSA Lyon,FRA
787,Iran University of Science and Technology,IRN
788,Sharif University of Technology,IRN
789,Tehran University of Medical Sciences,IRN
790,Rutgers University–Newark,USA
791,Jadavpur University,IND
792,University of Franche-Comté,FRA
793,Jawaharlal Nehru Centre for Advanced Scientific Research,IND
794,Kindai University,JPN
795,Osaka City University,JPN
796,University of Calcutta,IND
797,Indian Institute of Management Ahmedabad,IND
798,Jawaharlal Nehru University,IND
799,University of Idaho,USA
800,University of Louisiana at Lafayette,USA
801,Nagasaki University,JPN
802,Islamic Azad University,IRN
803,Baylor University,USA
804,Montana State University - Bozeman,USA
805,University of South Bohemia in České Budějovice,CZE
806,University of Oklahoma Health Sciences Center,USA
808,University of Rostock,DEU
809,Palacký University Olomouc,CZE
810,"Birkbeck, University of London",GBR
811,University of Debrecen,HUN
812,Kanazawa University,JPN
813,Braunschweig University of Technology,DEU
814,University of Arkansas - Fayetteville,USA
815,University of Split,HRV
816,"University of Maine, Orono",USA
817,University of Antioquia,COL
818,Catholic University of Korea,KOR
819,Capital Normal University,CHN
820,Beijing Forestry University,CHN
821,University of Alaska Fairbanks,USA
822,Kitasato University,JPN
823,Kangwon National University,KOR
824,Medical University of Graz,AUT
825,Niigata University,JPN
826,Hong Kong University of Science and Technology,HKG
827,Shinshu University,JPN
828,University of Lübeck,DEU
829,University of Montana - Missoula,USA
830,College of William & Mary,USA
831,National Technical University of Athens,GRC
832,University of Québec at Montreal,CAN
833,Yokohama City University,JPN
834,SUNY Downstate Medical Center,USA
835,"University of Nevada, Reno",USA
836,Otto von Guericke University Magdeburg,DEU
837,HEC Paris,FRA
838,Mansoura University,EGY
839,CentraleSupélec,FRA
840,Martin Luther University of Halle-Wittenberg,DEU
841,University of Arkansas for Medical Sciences,USA
843,Nanyang Technological University,SGP
844,Wageningen University and Research,NLD
845,University of Sheffield,GBR
846,Rio de Janeiro State University,BRA
847,Royal Institute of Technology,SWE
848,Icahn School of Medicine at Mount Sinai,USA
849,Federal University of São Paulo,BRA
850,VU University Amsterdam,NLD
851,University of Lausanne,CHE
852,University of Massachusetts Amherst,USA
853,Indiana University Bloomington,USA
854,Case Western Reserve University,USA
855,University of Montpellier,FRA
856,Tokyo Institute of Technology,JPN
857,University of Iowa,USA
858,"UNESP, São Paulo State University",BRA
859,Jiangnan University,CHN
860,Oregon Health & Science University,USA
861,Yeshiva University,USA
862,Sungkyunkwan University,KOR
863,University of Cologne,DEU
864,"University of Maryland, Baltimore",USA
865,Federal University of Santa Maria,BRA
866,Federal University of Goiás,BRA
867,Federal University of Pelotas,BRA
868,Paul Sabatier University - Toulouse III,FRA
869,Federal University of Paraná,BRA
870,Western University,CAN
871,"University of Science and Technology, Korea",KOR
872,University of Texas Health Science Center at Houston,USA
873,University of Alabama at Birmingham,USA
874,Federal University of Ceará,BRA
875,University of Missouri–Columbia,USA
876,Federal University of Viçosa,BRA
877,University of Massachusetts Medical School,USA
878,Paris Descartes University,FRA
879,University of New South Wales,AUS
880,University of Miami,USA
882,University of Paris-Sud,FRA
883,Karolinska Institute,SWE
884,Ludwig Maximilian University of Munich,DEU
885,Weizmann Institute of Science,ISR
886,"University of California, Davis",USA
887,Rutgers University-New Brunswick,USA
888,University of Copenhagen,DNK
889,University of Colorado Denver | Anschutz Medical Campus,USA
890,University of Illinois at Urbana–Champaign,USA
891,University of Buenos Aires,ARG
892,"Northwestern University, Evanston, IL",USA
893,"University of California, San Francisco",USA
894,University College London,GBR
895,University of Washington - Seattle,USA
897,University of Tokyo,JPN
898,"University of California, Berkeley",USA
899,Washington University in St. Louis,USA
900,National University of Córdoba,ARG
901,École normale supérieure,FRA
902,University of Bonn,DEU
903,Erasmus University Rotterdam,NLD
904,University of Basel,CHE
905,Lund University,SWE
