ID,university names,country code,address
3285,Sardarkrushinagar Dantiwada Agricultural University,IND,"NH 8, Sardarkrushinagar, Dantiwada Taluka, Banaskantha District, Satsan, Gujarat 385506, India"
3286,Sardar Patel University,IND,"Mota Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120, India"
3287,Sardar Vallabhai Patel University of Agriculture Amd Technology,IND,"Meerut, Uttar Pradesh 250110, India"
3288,SASTRA Deemed University,IND,"Trichy-Tanjore Road, Thirumalaisamudram, Thanjavur, Tamil Nadu 613401, India"
3289,Sathyabama University,IND,"Kamaraj Nagar, Semmancheri, Chennai, Tamil Nadu 600119, India"
3290,Saurashtra University,IND,"Saurashtra University Campus, Rajkot, Gujarat 360005, India"
3291,School of Planning and Architecture,IND,"4, Block B, Beside State Bank Of India, Indraprashta Marg, IP Estate, New Delhi, Delhi 110002, India"
3292,Shanmugha Arts Science Technology and Research Academy,IND,"Trichy-Tanjore Road, Thirumalaisamudram, Thanjavur, Tamil Nadu 613401, India"
3293,Sher-E-Kashmir University of Agricultural Sciences and Technology,IND,"Jammu, Jammu and Kashmir 180009"
3294,Shivaji University,IND,"Vidya Nagar, Kolhapur, Maharashtra 416004, India"
3295,Shobhit University - Meerut,IND,"NH 58, Modipuram, Meerut, Uttar Pradesh 250110, India"
3296,Shreemati Nathibai Damodar Thackersey Women's University,IND,"1, Nathibai Thackersey Rd, New Marine Lines, Churchgate, Mumbai, Maharashtra 400020, India"
3297,Shridhar University,IND,"Chirawa - Pilani Rd, Norangpura, Pilani, Rajasthan 333031, India"
3298,Shri Jagannath Sanskrit University,IND,"Shri Vihar, Puri, Odisha 752003, India"
3299,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,IND,"B-4 Shaheed Jeet Singh Marg Katwaria Sarai, Qutab Institutional Area, New Delhi, Delhi 110016, India"
3300,Shri Mata Vaishno Devi University,IND,"Sub-Post Office, Network Centre, Katra, Jammu and Kashmir 182320"
3301,Sido Kanhu Murmu University,IND,"Dumka Sahebganj Rd, Dighi, Jharkhand 814101, India"
3302,Sikha 'O' Anushandhan University,IND,"SOA University, Campus, Khandagiri Marg, 2, Sum Hospital Rd, Bhubaneswar, Odisha 751030, India"
3303,"Sikkim Manipal University of Health, Medical and Technological Sciences",IND,"5th Mile, NH 31A, Tadong, Gangtok, Sikkim 737102, India"
3304,Singhania University Rajasthan,IND,"District Jhunjhunu, Pacheri Bari, Rajasthan 333515, India"
3305,SMK Fomra Institute of Technology,IND,"Tamil Nadu 603103, India"
3306,Solapur University,IND,"Solapur Pune National Highway, Kegaon, Solapur, Maharashtra 413255, India"
3307,South Asian University,IND,"Akbar Bhawan, Satya Marg, Chanakyapuri, New Delhi, Delhi 110021, India"
3308,South Gujarat University,IND,"Udhana - Magdalla Road, Surat, Gujarat 395007, India"
3309,Sree Chitra Tirunal Institute for Medical Sciences and Technology,IND,"Jai Nagar W Rd, Chalakkuzhi, Thiruvananthapuram, Kerala 695011, India"
3310,Sree Rama Krishna Degree College,IND,"D.No, 25/530, Srinivasa Nagar, Nandyala, Andhra Pradesh 518501, India"
3311,Sree Sankaracharya University of Sanskrit,IND,"Thalayattumpilli, Kalady, Kerala 683574, India"
3312,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,IND,"Sri Jayendra Saraswathi Street, Enathur, Tamil Nadu 631561, India"
3313,Sri Krishnadevaraya University,IND,"Administrative Building(PG), Anantapur, Andhra Pradesh 515003, India"
3314,Sri Padmavati Women's University,IND,"Near West Railway Station, SVU Staff Colony, Padmavathi Nagar, Tirupati, Andhra Pradesh 517502, India"
3315,Sri Ramachardra Medical College and Research Institute,IND,"No.1, Ramachandra Nagar, Sri Ramachandra Nagar, Porur, Chennai, Tamil Nadu 600116, India"
3316,Sri Sant Gajanan Maharaj College of Engineering,IND,"SSGMCE, SBI Colony, Shegaon, Maharashtra 444203, India"
3317,Sri Sathya Sai Institute of Higher Learning,IND,"Vidyagiri Prasanthi Nilayam, Andhra Pradesh 515134, India"
3318,Sri Venkateswara Institute of Medical Sciences,IND,"Alipiri Rd, Sri Padmavati Mahila Visvavidyalayam, Tirupati, Andhra Pradesh 517507, India"
3319,Sri Venkateswara University,IND,"Gandhi Rd, Sri Padmavati Mahila Visvavidyalayam, Tirupati, Andhra Pradesh 517502, India"
3320,SRM Institute Of Science & Technology ( Deemed University),IND,"Mahatma Gandhi Rd, Potheri, SRM Nagar, Kattankulathur, Tamil Nadu 603203, India"
3321,Sunrise University Alwar,IND,"Bagad Rajput, Alwar, Rajasthan 301030, India"
3322,Swami Ramanand Teerth Marathwada University,IND,"Latur Road, Nanded, Maharashtra 431606, India"
3323,Symbiosis International University,IND,"Lavale, Mulshi, Pune, Maharashtra 412115, India"
3324,Takhatmal Shrivallabh Homoeopathic Medical College,IND,"Rajapet,, Amravati, Maharashtra 444605, India"
3325,Tamil Nadu Agricultural University,IND,"TNAU - RI Block, Tamil Nadu Agricultural University, PN Pudur, Coimbatore, Tamil Nadu 641003, India"
3326,Tamil Nadu Dr. Ambedkar Law University,IND,"5, Dr. D.G.S. Dinakaran Salai, State Bank of India Colony, Raja Annamalai Puram, Chennai, Tamil Nadu 600028, India"
3327,Tamil Nadu Dr. M.G.R. Medical University,IND,"69, Anna Salai Rd, Little Mount, Guindy, Chennai, Tamil Nadu 600032, India"
3328,Tamil Nadu Veterinary and Animal Sciences University,IND,"Madhavaram Milk Colony Road, Chennai, Tamil Nadu 600051, India"
3329,Tamil University,IND,"Tamil University Road, Thanjavur, Tamil Nadu 613010, India"
3330,Tata Institute of Social Sciences,IND,"V.N. Purav Marg, Eden Gardens, Deonar, Mumbai, Maharashtra 400088, India"
